Country_Region,Confirmed,Deaths
Afghanistan,175353,7630
Albania,272337,3483
Algeria,265323,6858
Andorra,38710,152
Angola,98829,1900
Antarctica,11,0
Antigua and Barbuda,7455,135
Argentina,8949362,126901
Armenia,421541,8552
Australia,56474,34
Australia,1405566,1960
Australia,43866,30
Australia,608063,610
Australia,164675,212
Australia,53390,26
Australia,1097997,2611
Australia,29839,12
Austria,2924852,15071
Azerbaijan,789757,9547
Bahamas,33180,771
Bahrain,530730,1461
Bangladesh,1948148,29096
Barbados,56376,323
Belarus,932949,6594
Belgium,547514,0
Belgium,415235,0
Belgium,463641,0
Belgium,334041,0
Belgium,419566,0
Belgium,348523,0
Belgium,257470,0
Belgium,94955,0
Belgium,162813,0
Belgium,53288,30313
Belgium,136593,0
Belgium,375483,0
Belize,56952,652
Benin,26575,163
Bhutan,15560,7
Bolivia,895424,21469
Bosnia and Herzegovina,372645,15590
Botswana,263950,2619
Brazil,122809,1985
Brazil,293826,6762
Brazil,160149,2113
Brazil,576056,14133
Brazil,1512109,29402
Brazil,1231567,26451
Brazil,686632,11482
Brazil,1029355,14206
Brazil,1194665,25875
Brazil,416199,10837
Brazil,714295,14779
Brazil,509080,10415
Brazil,3250989,59999
Brazil,729850,17926
Brazil,582380,10135
Brazil,2365443,42543
Brazil,852103,21166
Brazil,366202,7691
Brazil,481680,8071
Brazil,2192155,38552
Brazil,2017580,72014
Brazil,381087,7102
Brazil,154034,2137
Brazil,1635891,21486
Brazil,5074665,165484
Brazil,321671,6273
Brazil,299846,4115
Brunei,97018,151
Bulgaria,1105968,35964
Burkina Faso,20751,375
Burma,601020,19394
Burundi,38178,38
Cabo Verde,55903,401
Cambodia,133065,3043
Cameroon,119322,1926
Canada,529184,3979
Canada,351141,2915
Canada,0,1
Canada,13,0
Canada,132089,1700
Canada,40312,312
Canada,26972,68
Canada,9325,19
Canada,47089,212
Canada,3170,5
Canada,1129672,12644
Canada,17623,16
Canada,930748,14120
Canada,13,0
Canada,128289,1135
Canada,3524,22
Central African Republic,14320,113
Chad,7258,190
Chile,116227,1418
Chile,194406,1803
Chile,53209,647
Chile,59875,430
Chile,22250,135
Chile,309939,3257
Chile,112341,1278
Chile,177323,1757
Chile,96645,878
Chile,47522,575
Chile,208744,2119
Chile,1245525,21348
Chile,87696,791
Chile,132527,1790
Chile,77474,950
Chile,43,0
Chile,272580,4084
China,1013,6
China,1565,9
China,624,6
China,1589,1
China,407,2
China,5508,8
China,1225,2
China,162,2
China,193,6
China,1526,7
China,2095,13
China,2690,22
China,525242,2578
China,68380,4512
China,1235,4
China,1659,1
China,1816,0
China,959,1
China,869,3
China,1036,2
China,82,0
China,122,0
China,30,0
China,2850,3
China,1398,7
China,4631,7
China,293,0
China,1535,3
China,1170,3
China,1,0
China,0,0
China,996,3
China,1987,2
China,2293,1
Colombia,7552,264
Colombia,916986,18194
Colombia,16182,523
Colombia,401736,10111
Colombia,196793,3236
Colombia,124629,2772
Colombia,116774,2519
Colombia,1761053,29209
Colombia,24862,1014
Colombia,41524,994
Colombia,72072,1783
Colombia,106240,2665
Colombia,18575,426
Colombia,118864,3924
Colombia,317296,7245
Colombia,2753,37
Colombia,5582,105
Colombia,100142,3488
Colombia,56183,1518
Colombia,114663,3619
Colombia,104775,2528
Colombia,104343,3296
Colombia,119386,5058
Colombia,20452,769
Colombia,70730,2050
Colombia,106178,2464
Colombia,10147,154
Colombia,282417,8136
Colombia,65602,1712
Colombia,124154,3989
Colombia,0,300
Colombia,539493,14972
Colombia,1886,19
Colombia,3392,61
Comoros,8051,160
Congo (Brazzaville),24020,378
Congo (Kinshasa),86154,1335
Costa Rica,818996,8136
Cote d'Ivoire,81559,795
Croatia,1065001,15250
Cuba,1073951,8501
Cyprus,338517,883
Czechia,3642514,38986
Denmark,34658,28
Denmark,11825,20
Denmark,2891763,4948
Diamond Princess,712,13
Djibouti,15550,189
Dominica,11248,61
Dominican Republic,576129,4371
Ecuador,841575,35309
Egypt,492774,24244
El Salvador,156364,4092
Equatorial Guinea,15894,183
Eritrea,9716,103
Estonia,520407,2308
Eswatini,69331,1391
Ethiopia,469047,7477
Fiji,64034,834
Finland,694142,2571
France,77866,394
France,68975,643
France,126256,919
France,122782,899
France,36703,187
France,58733,304
France,310181,680
France,3780,6
France,1125,1
France,9912,63
France,454,7
France,22530160,136539
Gabon,47562,303
Gambia,11963,365
Georgia,1629065,16430
Germany,2321088,14528
Germany,3047235,21708
Germany,775291,4281
Germany,564058,5264
Germany,121281,693
Germany,365287,2334
Germany,1143512,9312
Germany,275562,1824
Germany,1182048,7639
Germany,3345573,22650
Germany,646343,5073
Germany,177261,1425
Germany,1009038,14390
Germany,457290,4814
Germany,359203,2168
Germany,452060,6666
Germany,83957,0
Ghana,160640,1442
Greece,2538168,26303
Grenada,13690,216
Guatemala,795808,17106
Guinea,36427,440
Guinea-Bissau,8038,168
Guyana,63076,1223
Haiti,30400,825
Holy See,29,0
Honduras,414714,10812
Hungary,1807285,44495
Iceland,150467,73
India,10025,129
India,2318547,14729
India,64475,296
India,724167,6639
India,830311,12255
India,91819,1165
India,1151603,14033
India,11440,4
India,1862047,26139
India,245143,3829
India,1223360,10938
India,983312,10577
India,283836,4124
India,453323,4749
India,434669,5315
India,3942927,40004
India,6515103,66374
India,28139,228
India,11401,52
India,1040254,10733
India,7869498,143745
India,136921,2115
India,93614,1586
India,219156,665
India,35434,757
India,1286117,9101
India,165748,1962
India,758517,17722
India,1281614,9545
India,39097,443
India,3451322,38019
India,789951,4111
India,100869,919
India,0,0
India,2069363,23485
India,436781,7687
India,2015980,21181
Indonesia,5800253,150831
Iran,7102159,138260
Iraq,2309816,25076
Ireland,1326946,6571
Israel,3688096,10322
Italy,272064,3003
Italy,87246,782
Italy,230705,2151
Italy,1236215,9847
Italy,1202206,16021
Italy,312758,4815
Italy,1106523,10516
Italy,353041,5139
Italy,2367735,38831
Italy,338879,3619
Italy,41095,575
Italy,192237,1418
Italy,141216,1527
Italy,992251,13100
Italy,763927,7745
Italy,185834,2099
Italy,825196,9655
Italy,877431,9162
Italy,192299,1751
Italy,31769,522
Italy,1358900,13923
Jamaica,128228,2831
Japan,353432,1764
Japan,11289,40
Japan,24925,71
Japan,295591,1442
Japan,19088,121
Japan,15654,40
Japan,253947,1020
Japan,26899,189
Japan,57129,290
Japan,56584,264
Japan,79421,418
Japan,186256,1829
Japan,286082,1918
Japan,83990,322
Japan,27802,176
Japan,12850,64
Japan,21624,85
Japan,34301,136
Japan,499386,1818
Japan,13493,88
Japan,53580,251
Japan,134182,500
Japan,45265,255
Japan,45457,154
Japan,20234,100
Japan,33725,156
Japan,28701,111
Japan,61813,299
Japan,32160,80
Japan,26243,109
Japan,52959,211
Japan,105878,430
Japan,700896,4166
Japan,4463,4
Japan,25874,67
Japan,346511,1227
Japan,55320,158
Japan,7197,8
Japan,98829,352
Japan,50122,212
Japan,12853,76
Japan,1075696,3839
Japan,7502,10
Japan,21299,68
Japan,8,0
Japan,24433,106
Japan,13207,73
Japan,23370,144
Japan,18563,56
Jordan,1654677,13882
Kazakhstan,1392338,18980
Kenya,323115,5641
Kiribati,3000,13
"Korea, South",5212118,9440
Kosovo,226680,3120
Kuwait,624205,2548
Kyrgyzstan,200658,2968
Laos,144551,633
Latvia,712271,5369
Lebanon,1080381,10169
Lesotho,32716,697
Liberia,7384,294
Libya,498839,6314
Liechtenstein,13222,79
Lithuania,938968,8548
Luxembourg,188748,999
MS Zaandam,9,2
Madagascar,63791,1373
Malawi,85452,2619
Malaysia,336755,4183
Malaysia,255616,2359
Malaysia,227695,1339
Malaysia,103399,1026
Malaysia,159500,1379
Malaysia,143023,870
Malaysia,161712,1575
Malaysia,13897,153
Malaysia,228749,1840
Malaysia,354540,3039
Malaysia,270415,1634
Malaysia,1010562,10271
Malaysia,105364,798
Malaysia,0,0
Malaysia,275686,2736
Malaysia,18746,152
Malaysia,15294,30
Maldives,173337,297
Mali,30401,725
Malta,72130,610
Marshall Islands,7,0
Mauritania,58654,980
Mauritius,169796,904
Mexico,61705,3467
Mexico,130194,12114
Mexico,101286,2622
Mexico,33489,2226
Mexico,34746,2390
Mexico,125965,9833
Mexico,1366421,42333
Mexico,143702,8722
Mexico,54225,2176
Mexico,67737,3558
Mexico,277113,14746
Mexico,97719,6676
Mexico,89808,8324
Mexico,234286,19241
Mexico,528556,46737
Mexico,93199,8738
Mexico,66703,5178
Mexico,57733,3139
Mexico,309540,14859
Mexico,117996,6056
Mexico,167075,16294
Mexico,140248,6135
Mexico,91092,4336
Mexico,180600,7417
Mexico,120047,9561
Mexico,162567,9974
Mexico,189393,6015
Mexico,141284,7913
Mexico,43155,3055
Mexico,0,0
Mexico,172211,15979
Mexico,108481,6525
Mexico,67332,3827
Micronesia,1,0
Moldova,505996,11298
Monaco,9605,51
Mongolia,913444,2176
Montenegro,231115,2689
Morocco,1161776,16029
Mozambique,225150,2197
Namibia,157358,4014
Nepal,977641,11949
Netherlands,33732,212
Netherlands,7633,31
Netherlands,39185,264
Netherlands,157586,438
Netherlands,157836,323
Netherlands,231196,597
Netherlands,814503,2698
Netherlands,197535,342
Netherlands,447111,2110
Netherlands,1069766,3607
Netherlands,1132503,3264
Netherlands,465650,1379
Netherlands,9589,85
Netherlands,84139,21
Netherlands,563692,1510
Netherlands,141474,371
Netherlands,1459004,4985
New Zealand,2,0
New Zealand,286750,65
Nicaragua,18203,225
Niger,8769,307
Nigeria,254777,3142
North Macedonia,300106,9097
Norway,1325909,1664
Oman,385513,4249
Pakistan,43140,789
Pakistan,35399,377
Pakistan,11592,191
Pakistan,134700,1019
Pakistan,217503,6291
Pakistan,503128,13535
Pakistan,570688,8085
Palau,3864,6
Panama,758312,8122
Papua New Guinea,41533,639
Paraguay,644609,18494
Peru,43598,1332
Peru,124283,7046
Peru,38472,1607
Peru,210750,10166
Peru,47860,2300
Peru,95346,4405
Peru,145812,10437
Peru,116075,5094
Peru,25429,1253
Peru,51696,2851
Peru,102912,8871
Peru,124954,7384
Peru,145559,10849
Peru,104765,9186
Peru,1594692,92474
Peru,57696,4365
Peru,17645,835
Peru,48089,1604
Peru,23744,1086
Peru,156821,12974
Peru,65013,4668
Peru,61623,3126
Peru,53526,2109
Peru,26808,1678
Peru,39316,3207
Peru,6455,345
Philippines,3668710,57072
Poland,5760498,112768
Portugal,3352874,21248
Qatar,358564,671
Romania,2776910,64094
Russia,45868,919
Russia,248477,8141
Russia,32659,587
Russia,97289,721
Russia,218782,1596
Russia,112092,2866
Russia,248081,5344
Russia,120098,2065
Russia,150361,3564
Russia,128617,2898
Russia,42494,1072
Russia,297566,7088
Russia,5204,41
Russia,74627,4466
Russia,90475,3552
Russia,39618,543
Russia,260147,7967
Russia,102544,2898
Russia,16081,486
Russia,59221,1791
Russia,154264,1660
Russia,48108,820
Russia,97576,1369
Russia,37770,595
Russia,44089,976
Russia,127865,1415
Russia,149374,2163
Russia,183324,1457
Russia,85047,2273
Russia,200145,2429
Russia,144133,905
Russia,162932,2957
Russia,83627,1246
Russia,236195,10490
Russia,350358,10148
Russia,93454,1248
Russia,108985,2314
Russia,174861,3377
Russia,133519,3350
Russia,19061,380
Russia,43611,1062
Russia,61809,1291
Russia,2713634,41886
Russia,948518,14362
Russia,129312,3144
Russia,6939,93
Russia,384098,11195
Russia,39540,1220
Russia,94583,961
Russia,238543,5099
Russia,195857,3947
Russia,102307,1770
Russia,197511,3766
Russia,164988,5351
Russia,339032,8465
Russia,160470,1839
Russia,102060,1622
